单词	发音	词性 中文释义	英文释义: 示例短语	补充内容	笔记
thrill·er	/ˈθrɪlər/	n. 惊悚片	suspense: a good thriller	【联想】thrill 兴奋【词根】thrill 'thrill' + -er	
throat	/θrəʊt/	n. 喉咙	neck: a sore throat		
through	/θruː/	prep. 通过，穿越	across: go through a tunnel	【辨析】across 横穿	
through·out	/θruːˈaʊt/	prep. 贯穿	everywhere: throughout the year	【联想】through 穿过，out 外	
throw	/θrəʊ/	vt. (threw, thrown) 投掷	toss: throw a ball	【同】chuck, toss, fling, hurl【反】catch【联想】threw 投，thrown 投	
thun·der	/ˈθʌndər/	n. 雷声	boom: hear the thunder	【联想】thunderstorm 雷暴【词根】thunder 'thunder'	
thun·der·storm	/ˈθʌndəstɔːm/	n. 雷暴	tempest: a big thunderstorm	【联想】thunder 雷，storm 暴风雨【词根】thunder 'thunder' + storm 'storm'	
Thurs·day	/ˈθɜːzdeɪ/	n. 星期四	Thursday: on Thursday	【联想】星期词	
thus	/ðʌs/	ad. 如此	hence: thus it is so	【同】hence, in this way	
tick	/tɪk/	n. & v. 标记；打勾	check: tick a box	【联想】形近 ticket 票	
tick·et	/ˈtɪkɪt/	n. 票	pass: buy a ticket	【联想】形近 tick 标记；打勾	
ti·dy	/ˈtaɪdi/	a. 整洁的	neat: tidy up a room	【联想】反义 untidy 不整洁的，neat 整洁的【词根】tidy 'tidy'	
tie	/taɪ/	vt. 打结 n. 领带	bind: tie a knot	【联想】untie 解开，tied 系	
ti·ger	/ˈtaɪɡər/	n. 老虎	bigcat: a fierce tiger		
tight	/taɪt/	a. 紧的	firm: a tight rope	【反】loose 【联想】反义 loose 松的，tighten 收紧	
till	/tɪl/	prep. 直到	until: wait till tomorrow	【联想】同义 until 直到【辨析】until 直到(正式)；till 直到(口语)	
time	/taɪm/	n. 时间	duration: a lot of time	【联想】timetable 时刻表，lifetime 一生【词组】on time 准时，in time 及时，in no time 立即，it's time to do 该做…了	
time·ta·ble	/ˈtaɪmˌteɪbəl/	n. 时间表	schedule: make a timetable	【联想】time 时间，table 表【词根】time 'time' + table 'table'	
tin	/tɪn/	n. 锡罐	can: a tin can		
ti·ny	/ˈtaɪni/	a. 微小的	minute: a tiny insect	【词根】tiny 'tiny'	
tip	/tɪp/	n. 尖端；小费	end: a useful tip	【例句】He touched the flower with the tip of his finger.	
tire	/taɪər/	vt. 使疲劳 n. 轮胎（美）	fatigue: tire the horse	【联想】tired 疲劳的，tiresome 烦人的，tyre 轮胎	
tired	/taɪəd/	a. 疲倦的	exhausted: feel tired after running	【联想】tire 使疲劳【词组】be tired of 厌倦，be tired from 因…疲劳【辨析】tired 疲劳(人)；tiring 令人疲劳(物)	
tire·some	/ˈtaɪəsəm/	a. 令人厌烦的	tedious: a tiresome job	【联想】tire 使疲劳，tired 疲劳的	
tis·sue	/ˈtɪʃuː/	n. 纸巾	napkin: a box of tissue	【例句】a box of tissues	
ti·tle	/ˈtaɪtəl/	n. 标题	heading: the title of a book	【词根】title 'title'	
to	/tuː/	prep. 到	toward: go to school		
toast	/təʊst/	n. 烤面包	toasted bread: a slice of toast	【同】bread【词组】make a toast【词根】toast 'roast'	
to·bac·co	/təˈbækəʊ/	n. 烟草	plant for cigarettes: smoke tobacco	【同】plant for cigarettes 【联想】cigarette 香烟【词根】tobacco 'tobacco'	
to·day	/təˈdeɪ/	n. 今天	present: today's news	【联想】tonight 今晚，tomorrow 明天	
to·geth·er	/təˈɡeðər/	ad. 一起	jointly: play together	【反】alone, apart 【联想】altogether 总共，词根 gather 聚集	
toi·let	/ˈtɔɪlət/	n. 厕所	restroom: use the toilet		
To·ky·o	/ˈtəʊkiəʊ/	n. 东京	Tokyo: visit Tokyo		
tol·e·rate	/ˈtɒləreɪt/	vt. 忍受	endure: tolerate noise	【同】endure, put up with, bear【词组】tolerate bad behavior【联想】tolerance 容忍【词根】toler 'bear' + -ate	
to·ma·to	/təˈmɑːtəʊ/	n. 西红柿	fruit: a red tomato	【联想】potato 土豆	
tomb	/tuːm/	n. 坟墓	grave: an ancient tomb	【词根】tomb 'tomb'	
to·mor·row	/təˈmɒrəʊ/	n. 明天	future: tomorrow morning	【反】yesterday 昨天【联想】today 今天，yesterday 昨天	
ton	/tʌn/	n. 吨	weight: a ton of coal	【联想】tonne 公吨	
tongue	/tʌŋ/	n. 舌头	language: wag the tongue	【词根】tongue 'tongue'	
to·night	/təˈnaɪt/	n. 今晚	evening: tonight's show	【联想】today 今天，night 夜晚	
too	/tuː/	ad. 也，太	also: too much sugar		
tool	/tuːl/	n. 工具	instrument: a useful tool		
tooth	/tuːθ/	n. (pl. teeth) 牙齿	molar: brush one's teeth	【同】molar 【联想】toothache 牙痛，toothbrush 牙刷，toothpaste 牙膏，复数 teeth 牙齿	
tooth·ache	/ˈtuːθeɪk/	n. 牙痛	pain: have a toothache	【联想】tooth 牙齿，ache 疼痛	
tooth·brush	/ˈtuːθbrʌʃ/	n. 牙刷	brush: a new toothbrush	【联想】tooth 牙齿，brush 刷子	
tooth·paste	/ˈtuːθpeɪst/	n. 牙膏	paste: a tube of toothpaste	【联想】tooth 牙齿，paste 糊	
top	/tɒp/	n. 顶部	peak: at the top of the hill	【例句】I'm going to try and climb to the top of that tree!【联想】形近 topic 主题【词组】on top of 在…之上	
top·ic	/ˈtɒpɪk/	n. 主题	subject: a hot topic	【联想】形近 top 顶部；subject 主题【词根】topic 'place'	
tor·toise	/ˈtɔːtəs/	n. 乌龟	slow land reptile: a slow tortoise	【同】slow land reptile	
to·tal	/ˈtəʊtəl/	a. 总计	entire: the total amount	【联想】totally 完全地【词根】total 'total'【辨析】total 总计(数额)；whole 整个(完整)	
touch	/tʌtʃ/	vt. 触碰	feel: touch the surface		
tough	/tʌf/	a. 艰难的	difficult: a tough problem	【联想】形近 rough 粗糙的；difficult 困难的【例句】Leaving home was a tough decision.	
tour	/tʊər/	n. 巡回，旅游	trip: go on a tour	【联想】tourism 旅游业，tourist 游客【词根】tour 'turn'	
tour·is·m	/ˈtʊərɪzəm/	n. 旅游业	travel: the development of tourism	【联想】tour 旅游，tourist 游客【词根】tour 'tour' + -ism	
tour·ist	/ˈtʊərɪst/	n. 游客	visitor: a foreign tourist	【联想】tour 旅游，tourism 旅游业【词根】tour 'tour' + -ist	
tour·na·ment	/ˈtʊənəmənt/	n. 锦标赛	contest: a tennis tournament	【词根】tourn 'turn' + -ament	
toward	/təˈwɔːd/	prep. 朝着（美式拼写）	in the direction of: walk toward the park	【联想】towards 朝向	
to·wards	/təˈwɔːdz/	prep. 朝着（英式拼写）	toward: move towards the goal	【联想】toward 朝向	
tow·el	/taʊəl/	n. 毛巾	cloth: a bath towel		
tow·er	/taʊər/	n. 塔楼	structure: a tall tower		
town	/taʊn/	n. 城镇	city: in the town	【词组】in town 在城里，out of town 出城	
toy	/tɔɪ/	n. 玩具	plaything: play with a toy		
track	/træk/	n. 轨道	path: a running track	【联想】形近 tractor 拖拉机	
trac·tor	/ˈtræktər/	n. 拖拉机	vehicle: drive a tractor	【联想】形近 track 轨道	
trade	/treɪd/	n. 贸易	commerce: do trade with	【联想】trader 商人	
tra·di·tion	/trəˈdɪʃən/	n. 传统	custom: a family tradition	【联想】traditional 传统的【词根】tra- 'across' + dit 'give' + -ion	
tra·di·tion·al	/trəˈdɪʃənəl/	a. 传统的	conventional: traditional Chinese culture	【联想】tradition 传统【词根】tra- 'across' + dit 'give' + -ional	
traf·fic	/ˈtræfɪk/	n. 交通	congestion: heavy traffic	【词根】traffic 'traffic'	
train	/treɪn/	n. 火车 v. 训练	educate: take a train	【联想】trainer 教练，training 训练【词根】train 'pull'	
train·ing	/ˈtreɪnɪŋ/	n. 训练	coaching: receive training	【联想】train 训练【词根】train 'train' + -ing	
tram	/træm/	n. 有轨电车	streetcar: ride a tram	【词根】tram 'tram'	
trans·form	/trænsˈfɔːm/	vt. 转换	change: transform the city	【同】convert 【联想】词根 form 形状，transformation 转变【词根】trans- 'change' + form 'shape'	
trans·late	/trænzˈleɪt/	v. 翻译	interpret: translate a sentence	【联想】translation 翻译，translator 翻译者【词根】trans- 'across' + late 'carry'	
trans·la·tion	/trænzˈleɪʃən/	n. 翻译	rendering: a written translation	【联想】translate 翻译【词根】trans- 'across' + late 'carry' + -ion	
trans·la·tor	/trænzˈleɪtər/	n. 翻译者	interpreter: a professional translator	【联想】translate 翻译，interpreter 口译员【词根】trans- 'across' + late 'carry' + -or	
trans·par·ent	/trænˈspærənt/	a. 透明的	see-through: transparent glass	【词根】trans- 'through' + parent 'appear'【同】clear） 【联想】trans 穿过，appear 出现	
trans·port	/ˈtrænspɔːt/	vt. & n. 运输	convey: transport goods	【联想】transportation 运输【词根】trans- 'across' + port 'carry'	
trap	/træp/	n. 陷阱	snare: fall into a trap	【同】snare, device to catch【词根】trap 'trap'	
trav·el	/ˈtrævəl/	vi. （ 长途）旅行	journey: travel around the world	【联想】traveler 旅行者，trip 旅行【词根】travel 'travail'【辨析】travel 旅行(泛指)；trip 短途(可数)	
traveler	/ˈtrævələr/	n. 旅行者（美式拼写）	tourist: a brave traveler	【联想】travel 旅行【词根】travel 'travel' + -er	
trav·el·ler	/ˈtrævələr/	n. 旅行者（英式拼写）	tourist: a foreign traveller	【联想】travel 旅行【词根】travel 'travel' + -er	
trea·sure	/ˈtreʒər/	n. 宝藏	wealth: find treasure	【词根】treas 'treasury' + -ure	
treat	/triːt/	vt. 对待	handle: treat a friend	【联想】treatment 治疗【词根】treat 'handle'【辨析】treat 治疗(过程)；cure 治愈(结果)	
treat·ment	/ˈtriːtmənt/	n. 治疗	therapy: medical treatment	【联想】treat 对待【词根】treat 'treat' + -ment	
tree	/triː/	n. 树	plant: climb a tree		
trem·ble	/ˈtrembəl/	vi. 颤抖	shake: tremble with fear	【词根】trem 'tremble' + -ble	
trend	/trend/	n. 趋势	tendency: a new trend	【同】tendency【词组】a new trend【联想】同义 tendency 趋势【词根】trend 'turn'	
tri·al	/traɪəl/	n. 试验，审判	test: a court trial	【同】test, court hearing 【联想】try 尝试【词根】tri 'try' + -al	
tri·an·gle	/ˈtraɪæŋɡəl/	n. 三角形	three-sided shape: a right triangle	【同】three-sided shape 【联想】tri 三，angle 角【词根】tri 'three' + angle 'angle'	
trick	/trɪk/	n. 诡计	deception: play a trick on	【词根】trick 'trick'	
trip	/trɪp/	n. 旅行	journey: go on a trip	【联想】同义 travel 长途旅行【词组】go on a trip 去旅行，take a trip 旅行【辨析】travel 旅行(泛指)；trip 短途(可数)	
trol·ley·bus	/ˈtrɒlibʌs/	n. 无轨电车	bus: take a trolleybus	【联想】trolley 电车，bus 公交车	
troop	/truːp/	n. 部队	squad: a troop of soldiers	【词根】troop 'troop'	
troub·le	/ˈtrʌbəl/	n. 麻烦	difficulty: get into trouble	【同】PROBLEMS, difficulty 【联想】troublesome 麻烦的【词根】trouble 'stir'	
troub·le·some	/ˈtrʌbəlsəm/	a. 麻烦的	problematic: a troublesome child	【联想】trouble 麻烦【词根】trouble 'trouble' + some 'having'	
trou·sers	/ˈtraʊzəz/	n. 裤子，长裤	pants: a pair of trousers	【联想】同义 pants 裤子【词根】trous 'trousers' + -ers	
truck	/trʌk/	n. 卡车	lorry: drive a truck	【联想】同义 lorry 卡车【词根】truck 'truck'	
true	/truː/	a. 真实的	real: a true story	【反】false 【联想】truth 真相，truly 真实地【辨析】real 真(实际存在)；true 真(符合事实)	
tru·ly	/ˈtruːli/	ad. 真正地	really: truly sorry	【联想】true 真实的【词根】true 'true' + -ly	
trunk	/trʌŋk/	n. 树干	main stem of tree: the trunk of a tree	【同】main stem of tree【词根】trunk 'trunk'	
trust	/trʌst/	vt. 信任	believe: trust a friend	【联想】trustworthy 值得信赖的，distrust 不信任【词根】trust 'trust'【辨析】believe 相信(真实性)；trust 信任(品格)	
truth	/truːθ/	n. 真相	reality: tell the truth	【联想】true 真实的【词根】true 'true' + -th【词组】in truth 实际上，tell the truth 说实话	
try	/traɪ/	vt. 尝试	attempt: try one's best	【联想】trial 试验，审判【词组】try on 试穿，try out 试验，try one's best 尽力【辨析】manage 设法做成(成功)；try 尝试	
T-shirt	/ˈtiːʃɜːt/	n. T 恤衫	T-shirt: wear a T-shirt		
tube	/tʃuːb/	n. 管子	pipe: a plastic tube	【联想】同义 pipe 管道【词根】tube 'tube'	
Tues·day	/ˈtʃuːzdeɪ/	n. 星期二	Tuesday: on Tuesday	【联想】星期词	
tune	/tʃuːn/	n. 曲调	melody: tune a guitar	【词根】tune 'tune'	
tur·key	/ˈtɜːki/	n. 火鸡	fowl: roast a turkey		
turn	/tɜːn/	v. 转动	rotate: turn left	【联想】turning 转弯处，return 返回【词根】turn 'turn'【词组】turn on 打开，turn off 关闭，turn up 出现，turn down 拒绝，turn into 变成【辨析】turn 转变(into)；change 改变	
turn·ing	/ˈtɜːnɪŋ/	n. 转弯处	corner: a road turning	【联想】turn 转动【词根】turn 'turn' + -ing	
tu·tor	/ˈtʃuːtər/	n. 家教	instructor: a private tutor	【词根】tutor 'protect'	
TV	/ˌtiːˈviː/	n. 电视	TV: watch TV	【联想】全写 television 电视	
twelfth	/twelfθ/	num. 第十二	12th: the twelfth day	【联想】数字词 twelve 十二	
twelve	/twelv/	num. 十二	dozen: twelve months	【联想】twelfth 第十二，twenty 二十	
twentieth	/ˈtwentiəθ/	num. 第二十	20th: the twentieth century	【联想】数字词 twenty 二十	
twen·ty	/ˈtwenti/	num. 二十	score: twenty students	【联想】twelve 十二，twentieth 第二十	
twice	/twaɪs/	ad. 两次	double: twice a week	【联想】数字词 two 二【词组】once or twice 一两次	
twin	/twɪn/	n. 双胞胎（之一）	pair: identical twin		
twist	/twɪst/	vt. 扭曲，拧	turn: twist a rope	【同】turn, bend 【联想】turn 转动，同义 bend 弯曲	
two	/tuː/	num. 二	couple: two apples	【联想】twice 两次，twin 双胞胎	
type	/taɪp/	n. 类型	kind: type a letter	【联想】typewriter 打字机，typist 打字员，typical 典型的【词根】type 'type'【辨析】type 类型；kind 种类	
type·writ·er	/ˈtaɪpˌraɪtər/	n. 打字机	keyboard: use a typewriter	【联想】type 打字，writer 作者【词根】type 'type' + writer 'writer'	
ty·phoon	/taɪˈfuːn/	n. 台风	storm: a strong typhoon	【联想】storm 暴风雨，hurricane 飓风	
typ·i·cal	/ˈtɪpɪkəl/	a. 典型的	standard: a typical example	【联想】词根 type 类型【词根】typ 'type' + -ical	
typ·ist	/ˈtaɪpɪst/	n. 打字员	secretary: a fast typist	【联想】type 打字【词根】typ 'type' + -ist	
tyre	/taɪər/	n. 轮胎（英式拼写）	tire: a flat tyre	【联想】tire 轮胎【词根】tyre 'tyre'	
U.K.	/ˌjuːˈkeɪ/	n. 英国	UK: visit the UK		
U.N.	/ˌjuːˈen/	n. 联合国	UN: the work of the UN		
U.S.A.	/ˌjuː es ˈeɪ/	n. 美国	USA: in the USA		
ug·ly	/ˈʌɡli/	a. 丑陋的	hideous: an ugly building	【反】beautiful	
um·brel·la	/ʌmˈbrelə/	n. 雨伞	parasol: open an umbrella	【词根】umbr 'shade' + -ella	
un·a·ble	/ʌnˈeɪbəl/	a. 不能的	incapable: be unable to do	【联想】反义 able 有能力的【词根】un- 'not' + able 'able'	
un·bear·a·ble	/ʌnˈbeərəbəl/	a. 难以忍受的	intolerable: an unbearable noise	【联想】bear 忍受【词根】un- 'not' + bear 'bear' + -able	
un·be·liev·a·ble	/ˌʌnbɪˈliːvəbəl/	a. 难以置信的	incredible: an unbelievable story	【联想】believe 相信【词根】un- 'not' + believe 'believe' + -able	
un·cer·tain	/ʌnˈsɜːtən/	a. 不确定的	unsure: be uncertain about	【联想】反义 certain 确定的【词根】un- 'not' + certain 'certain'	
un·cle	/ˈʌŋkəl/	n. 叔叔	relative: my uncle is nice	【联想】aunt 阿姨	
un·com·fort·a·ble	/ʌnˈkʌmftəbəl/	a. 不舒服的	uneasy: feel uncomfortable	【联想】反义 comfortable 舒适的【词根】un- 'not' + comfortable 'comfortable'	
un·con·di·tion·al	/ˌʌnkənˈdɪʃənəl/	a. 无条件的	absolute: unconditional love	【联想】condition 条件，conditional 有条件的【词根】un- 'not' + condition 'condition' + -al	
un·con·scious	/ʌnˈkɒnʃəs/	a. 无意识的	unaware: be unconscious of	【联想】反义 conscious 有意识的，conscience 良知【词根】un- 'not' + conscious 'conscious'	
un·der	/ˈʌndər/	prep. 在...下面	below: under the table	【反】over 【联想】underground 地下，understand 理解，underwear 内衣	
un·der·ground	/ˌʌndəˈɡraʊnd/	a. 地下的	subway: an underground passage	【联想】under 在…下，ground 地面【词根】under 'under' + ground 'ground'	
un·der·line	/ˌʌndəˈlaɪn/	vt. 下划线	highlight: underline a word	【联想】under 在…下，line 线【词根】under 'under' + line 'line'	
un·der·stand	/ˌʌndəˈstænd/	vt. (understood, understood) 理解	comprehend: understand a concept	【同】COMPREHEND, grasp, take in, see【联想】understanding 理解【词根】under 'under' + stand 'stand'【辨析】know 知道；learn 学会；understand 理解	
un·der·stand·ing	/ˌʌndəˈstændɪŋ/	n. 理解力	comprehension: show understanding	【联想】understand 理解【词根】under 'under' + stand 'stand' + -ing	
un·der·take	/ˌʌndəˈteɪk/	vt. (undertook, undertaken) 承担	tackle: undertake a task	【同】TACKLE, take on 【词根】under 'under' + take 'take'【联想】under 在…下，take 拿	
un·der·wear	/ˈʌndəweər/	n. 内衣	lingerie: a pair of underwear	【同】lingerie 【词根】under 'under' + wear 'wear'【联想】under 在…下，wear 穿	
un·di·vid·ed	/ˌʌndɪˈvaɪdɪd/	a. 未分割的	whole: undivided attention	【联想】词根 divide 分开【词根】un- 'not' + divided 'divided'	
un·do	/ʌnˈduː/	vt. 撤销	reverse: undo a knot	【联想】do 做，redo 重做【词根】un- 'back' + do 'do'	
un·em·ploy·ment	/ˌʌnɪmˈplɔɪmənt/	n. 失业	joblessness: suffer from unemployment	【联想】employ 雇佣，employment 就业【词根】un- 'not' + employment 'employment'	
un·fair	/ʌnˈfeər/	a. 不公平的	unjust: an unfair decision	【联想】反义 fair 公平的【词根】un- 'not' + fair 'fair'	
un·fit	/ʌnˈfɪt/	a. 不适合的	unsuitable: be unfit for	【联想】反义 fit 适合的【词根】un- 'not' + fit 'fit'	
un·fold	/ʌnˈfəʊld/	v. 展开	spread: unfold a map	【联想】反义 fold 折叠【词根】un- 'open' + fold 'fold'	
un·for·tu·nate	/ʌnˈfɔːtʃənət/	a. 不幸的	unlucky: an unfortunate event	【联想】反义 fortunate 幸运的【词根】un- 'not' + fortunate 'fortunate'	
un·for·tu·nate·ly	/ʌnˈfɔːtʃənətli/	ad. 不幸地	sadly: unfortunately it rained	【例句】Unfortunately, we had to go home early.	
u·ni·form	/ˈjuːnɪfɔːm/	n. 制服	outfit: wear a uniform	【同】outfit 【词根】uni- 'one' + form 'form'【联想】词根 uni 一，form 形式	
u·nion	/ˈjuːnjən/	n. 联盟	alliance: a labor union	【联想】unite 联合，unit 单元【词根】uni 'one' + -on	
u·nique	/juːˈniːk/	a. 独特的	distinctive: a unique experience	【联想】词根 uni 一，one 一个【词根】uni 'one' + -que	
u·nit	/ˈjuːnɪt/	n. 单位	item: a measurement unit	【联想】unite 联合，union 联盟【词根】uni 'one' + -t	
u·nite	/juːˈnaɪt/	v. 团结	join: unite the people	【联想】union 联盟，united 联合的【词根】uni 'one' + -te	
u·nit·ed	/juːˈnaɪtɪd/	a. 团结的	combined: a united team	【联想】unite 联合【词根】uni 'one' + -ted	
u·ni·ver·sal	/ˌjuːnɪˈvɜːsəl/	a. 普遍的	global: universal truth	【联想】universe 宇宙【词根】uni 'one' + vers 'turn' + -al	
u·ni·verse	/ˈjuːnɪvɜːs/	n. 宇宙	cosmos: the vast universe	【同】cosmos 【词根】uni- 'one' + verse 'turn'【联想】形近 university 大学；universal 普遍的	
u·ni·ver·si·ty	/ˌjuːnɪˈvɜːsəti/	n. 大学	college: go to university	【词根】uni- 'one' + vers 'turn' + -ity【同】college 【联想】形近 universe 宇宙	
un·known	/ʌnˈnəʊn/	a. 未知的	unfamiliar: an unknown person	【联想】反义 known 已知的，know 知道【词根】un- 'not' + known 'known'	
un·less	/ənˈles/	conj. 除非	except: unless it rains	【词根】un- 'not' + less	
un·like	/ʌnˈlaɪk/	prep. 不像	different: unlike his brother	【同】different 【词根】un- 'not' + like 'like'【联想】like 像，likely 可能的	
un·rest	/ʌnˈrest/	n. 动荡	turmoil: social unrest	【联想】词根 rest 休息【词根】un- 'not' + rest 'rest'	
un·til	/ənˈtɪl/	conj. 直到	till: wait until tomorrow	【联想】同义 till 直到【辨析】until 直到(正式)；till 直到(口语)	
un·u·su·al	/ʌnˈjuːʒuəl/	a. 不寻常的	rare: an unusual sight	【联想】反义 usual 通常的【词根】un- 'not' + usual 'usual'	
un·will·ing	/ʌnˈwɪlɪŋ/	a. 不情愿的	reluctant: be unwilling to	【联想】反义 willing 愿意的【词根】un- 'not' + willing 'willing'	
up	/ʌp/	ad. 向上	above: stand up	【反】down 【联想】upper 上面的，upstairs 楼上，upward 向上	
up·date	/ʌpˈdeɪt/	vt. 更新	bring up to date: update a software	【同】bring up to date 【联想】词根 date 日期，最新	
up·on	/əˈpɒn/	prep. 在...之上	on: once upon a time	【联想】up 上，on 在…上	
up·per	/ˈʌpər/	a. 上面的	higher: the upper floor	【联想】up 向上	
up·set	/ʌpˈset/	vt. & a. (upset, upset) 心烦的	unhappy: feel upset	【词组】be upset about【同】distressed	
up·stairs	/ʌpˈsteəz/	ad. 楼上的	above: go upstairs	【反】downstairs 【联想】up 上，stairs 楼梯【词根】up 'up' + stairs 'stairs'	
up·ward	/ˈʌpwəd/	ad. 向上的	rising: look upward	【联想】up 向上，反义 downward 向下的	
up·wards	/ˈʌpwədz/	ad. 向上	rising: move upwards	【联想】upward 向上	
ur·ban	/ˈɜːbən/	a. 城市的	city: an urban area	【反】rural 【联想】反义 rural 农村的，city 城市【词根】urb 'city' + -an	
urge	/ɜːdʒ/	vt. 强烈要求	encourage: urge someone to do	【联想】urgent 紧急的【词根】urg 'press' + -e	
ur·gent	/ˈɜːdʒənt/	a. 紧急的	pressing: an urgent matter	【同】pressing, requiring immediate action 【联想】urge 催促【词根】urg 'press' + -ent	
us	/ʌs/	pron. 我们	we: give us a hand	【联想】we 我们	
use	/juːz/	vt. 使用	utilize: use a pen	【联想】useful 有用的，useless 无用的，user 用户【词根】use 'use'	
used	/juːzd/	a. 用过的	secondhand: a used car	【备注】/juːst/ v. 过去常常【词组】used to do 过去常常，be used to doing 习惯于【联想】use 使用【词根】use 'use' + -ed	
use·ful	/ˈjuːsfəl/	a. 有用的	helpful: a useful book	【反】useless 【联想】use 使用，useless 无用的【词根】use 'use' + -ful	
use·less	/ˈjuːsləs/	a. 无用的	vain: a useless tool	【联想】use 使用，useful 有用的【词根】use 'use' + -less	
us·er	/ˈjuːzər/	n. 用户	consumer: a regular user	【联想】use 使用【词根】use 'use' + -er	
u·su·al	/ˈjuːʒuəl/	a. 通常的	normal: as usual	【反】unusual 【联想】usually 通常，unusual 不寻常的【词根】us 'use' + -ual	
u·su·al·ly	/ˈjuːʒuəli/	ad. 通常	generally: usually go to school	【联想】usual 通常的【词根】us 'use' + -ually【辨析】often 经常；usually 通常；always 总是	
va·cant	/ˈveɪkənt/	a. 空置的	empty: a vacant seat	【联想】形近 vacation 假期【词根】vac 'empty' + -ant	
va·ca·tion	/veɪˈkeɪʃən/	n. 假期	holiday: go on vacation	【联想】形近 vacant 空的；holiday 假期【词根】vac 'empty' + -ation【辨析】vacation 假期(美)；holiday 假期(英)	
vague	/veɪɡ/	a. 含糊的	unclear: a vague memory	【词根】vague 'wander'	
vain	/veɪn/	a. 徒劳的	futile: in vain	【词根】vain 'empty'【词组】in vain 徒劳	
val·id	/ˈvælɪd/	a. 有效的	legal: a valid ticket	【联想】反义 invalid 无效的，validity 有效性【词根】val 'worth' + -id	
val·ley	/ˈvæli/	n. 山谷	basin: a deep valley	【词根】val 'valley' + -ley	
val·u·a·ble	/ˈvæljəbəl/	a. 宝贵的	precious: a valuable painting	【联想】value 价值【词根】valu 'value' + -able	
val·ue	/ˈvæljuː/	n. 价值	worth: value one's time	【联想】valuable 有价值的，evaluate 评估【词根】value 'value'【辨析】value 价值(n)；worth 值得(adj)	
va·ri·e·ty	/vəˈraɪəti/	n. 多样性	diversity: a variety of fruits	【词组】a variety of【词根】vari 'change' + -ety【联想】vary 变化，various 各种各样的	
var·i·ous	/ˈveəriəs/	a. 各种各样的	different,diverse: various colors	【词根】vari 'change' + -ous【联想】vary 变化，variety 种类【辨析】different 不同(from)；various 多样	
vase	/vɑːz/	n. 花瓶	container for flowers: a beautiful vase	【同】container for flowers	
vast	/vɑːst/	a. 辽阔的，广袤的，浩瀚的	immense: a vast desert	【词根】vast 'vast'	
veal	/viːl/	n. 小牛肉	meat: a piece of veal	【联想】meat 肉	
vege·ta·ble	/ˈvedʒtəbəl/	n. 蔬菜	produce: grow vegetables	【词根】veget 'grow' + -able	
ve·hi·cle	/ˈvɪəkəl/	n. 车辆	means of transport: a motor vehicle	【同】means of transport【词根】vehic 'carry' + -le	
verb	/vɜːb/	n. 动词	action: a regular verb	【联想】noun 名词	
ver·sion	/ˈvɜːʃən/	n. 版本	edition: a new version	【词根】vers 'turn' + -ion	
ver·ti·cal	/ˈvɜːtɪkəl/	a. 垂直的	upright: a vertical line	【反】水平的 【联想】反义 horizontal 水平的【词根】vert 'turn' + -ical	
ve·ry	/ˈveri/	ad. 非常	extremely: very happy	【辨析】much 非常(修饰v/比较级)；very 非常(修饰adj/adv)	
vest	/vest/	n. 背心	waistcoat: wear a vest		
vi·a	/ˈvaɪə/	prep. 经由	through: go via the bridge		
vice	/vaɪs/	a. 副的 n. 邪恶	deputy: vice president	【词组】vice president【联想】virtue 美德	
vic·tim	/ˈvɪktɪm/	n. 受害者	sufferer: a flood victim	【词根】vict 'conquer' + -im	
vic·to·ry	/ˈvɪktəri/	n. 胜利	triumph: achieve victory	【同】SUCCESS, triumph, conquest, win【联想】victorious 胜利的【词根】vict 'conquer' + -ory	
vid·e·o	/ˈvɪdiəʊ/	n. 视频	recording: watch a video	【联想】videophone 可视电话，audiovisual 视听的【词根】vid 'see' + -eo	
vid·e·o·phone	/ˈvɪdiəʊfəʊn/	n. 视频电话	phone: use a videophone	【联想】video 视频，phone 电话【词根】video 'video' + phone 'sound'	
view	/vjuː/	n. 视野	scene: have a good view	【联想】preview 预览，review 复习，interview 采访【词根】view 'see'【词组】in view of 鉴于，on view 展出，in my view 在我看来【辨析】idea 主意；opinion 意见；view 观点	
vil·lage	/ˈvɪlɪdʒ/	n. 村庄	hamlet: live in a village	【联想】villager 村民	
vil·lag·er	/ˈvɪlɪdʒər/	n. 村民	resident: a friendly villager	【联想】village 村庄	
vin·e·gar	/ˈvɪnɪɡər/	n. 醋	condiment: a bottle of vinegar	【联想】sour 酸的	
vi·o·late	/ˈvaɪəleɪt/	vt. 违反（法律, 协议, 原则等）	break: violate the law	【联想】violation 违反【词根】viol 'force' + -ate	
vi·o·lence	/ˈvaɪələns/	n. 暴力	force: act of violence	【联想】violent 暴力的【词根】viol 'force' + -ence	
vi·o·lent	/ˈvaɪələnt/	a. 暴力的；猛烈的；激烈的	fierce: a violent storm	【联想】violence 暴力【词根】viol 'force' + -ent	
vi·o·lin	/ˌvaɪəˈlɪn/	n. 小提琴	string instrument: play the violin	【联想】violinist 小提琴手	
vi·o·lin·ist	/ˌvaɪəˈlɪnɪst/	n. 小提琴手	musician: a famous violinist	【同】musician 【词根】violin 'violin' + -ist【联想】violin 小提琴	
vir·tue	/ˈvɜːtʃuː/	n. 美德	moral goodness: a man of virtue	【反】vice恶习（=goodness: show virtue） 【联想】vice 恶习【词根】virt 'virtue'	
